Timestamp, Object Name, Section, Collision Duration, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z
28.32028, Manquines, Moda, 0.01485825, 0.3315365, 1.641767, 0.04500961, 0.0962678, 0.8137562, 0.01241436, 0.275434, 1.645548, 0.01240301, 0.1032878, 0.7979398, 0.01659835
28.38813, Hoodie, Moda, 0.08270645, 0.3681629, 1.628436, 0.04894924, 0.1467508, 0.5236864, 0.07255775, 0.3228393, 1.633045, 0.002586842, 0.1496511, 0.5038452, 0.07707616
29.78099, Bolso, Moda, 0.02827644, -0.04509068, 1.630488, 0.452126, 0.04223046, 0.7924526, -0.04532245, -0.08888292, 1.635178, 0.4043207, 0.05179936, 0.7767835, -0.04572538
29.85187, Hoodie, Moda, 0.0708847, -0.009040356, 1.648812, 0.3709512, -0.008826835, 0.9274394, -0.06483701, -0.06403685, 1.654937, 0.3368487, 0.000572675, 0.9177836, -0.06726307
29.89141, Manquines, Moda, 0.06917572, -0.005830288, 1.657943, 0.3424163, -0.01536605, 0.9533312, -0.07352589, -0.06533909, 1.664689, 0.3171525, -0.005541251, 0.9451494, -0.07529433
39.78897, octopus_teddy, Juguetes, 0.2379074, 0.1325378, 1.628777, 0.2276545, 0.2020635, 0.215643, 0.2205444, 0.1326346, 1.636493, 0.1631131, 0.2176852, 0.1887303, 0.2316119
40.02518, octopus_teddy, Juguetes, 0.01490402, 0.2470131, 1.595483, 0.1550727, 0.2630855, 0.2471775, 0.2306722, 0.245379, 1.604735, 0.09075499, 0.2807699, 0.2175121, 0.2459478
40.58117, octopus_teddy, Juguetes, 0.5397758, 0.3399415, 1.599686, 0.1206908, 0.2550561, 0.2951635, 0.2257926, 0.3423061, 1.60937, 0.0564599, 0.2778083, 0.2672249, 0.2425061
42.1694, octopus_teddy, Juguetes, 1.558823, 0.4691739, 1.51066, 0.08204794, 0.3395723, 0.2953848, 0.2238168, 0.4863367, 1.519007, 0.01991272, 0.3741637, 0.2625413, 0.2574992
42.2677, octopus_teddy, Juguetes, 0.08392715, 0.4932232, 1.53642, 0.07345772, 0.3571132, 0.28125, 0.2385017, 0.511632, 1.544582, 0.01165438, 0.3925588, 0.245064, 0.2771056
43.54755, octopus_teddy, Juguetes, 0.4175835, 0.3044939, 1.704723, 0.160984, 0.318489, 0.1088111, 0.2429097, 0.3242569, 1.715008, 0.09992266, 0.339367, 0.07852074, 0.2669479
44.30317, balon, Juguetes, 0.01580048, 0.2893434, 1.68613, 0.1850114, 0.01957913, 0.9557511, -0.2618541, 0.3542447, 1.689656, 0.1856871, 0.01837217, 0.9520157, -0.2610693
44.34285, balon, Juguetes, 0.01400375, 0.2838912, 1.686076, 0.1949759, 0.02773854, 0.9522148, -0.2636221, 0.3486953, 1.689711, 0.1984682, 0.02676067, 0.9477945, -0.2631283
44.44249, balon, Juguetes, 0.05849838, 0.2708035, 1.686812, 0.2209988, 0.03800799, 0.9543145, -0.2508661, 0.3352761, 1.6905, 0.2283854, 0.03742257, 0.9493582, -0.251312
