Timestamp, Object Name, Section, Collision Duration, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z
0.7326514, zapatillas, MostradorUnico, 0.1001083, 2.588547, 0.1715932, 0.5520072, 0, 0.9998787, 0, 2.474343, 0.1715932, 0.5504494, 0, 0.9998787, 0
1.066939, pulpo, MostradorUnico, 0.3342875, 2.406604, 0.1763905, 0.5417876, 0.01181639, 0.9982654, -0.02141542, 2.29288, 0.1789109, 0.5315065, 0.01181639, 0.9982654, -0.02141542
2.202758, trofeo, MostradorUnico, 0.07022953, -0.1221652, 1.696497, 0.001011908, -0.01935267, -0.7669287, 0.03659968, -0.06902599, 1.7006, -0.03619581, -0.01807398, -0.7835878, 0.03926879
3.80371, quemador, MostradorUnico, 0.07017827, -0.1617944, 1.690803, -0.1767484, 0.1956001, 0.8046216, -0.1962072, -0.1047471, 1.701596, -0.1475236, 0.2004293, 0.7883202, -0.1957984
5.223401, seta, MostradorUnico, 0.03970909, 0.009801865, 1.662387, 0.1060794, 0.1663524, 0.8911674, -0.3585737, 0.06578612, 1.671575, 0.1378016, 0.1712617, 0.8800599, -0.3678645
5.294377, seta, MostradorUnico, 0.04353476, 0.02077985, 1.659211, 0.09951445, 0.159221, 0.8793542, -0.3908823, 0.07893038, 1.668138, 0.127153, 0.164243, 0.8679408, -0.3982147
5.404959, seta, MostradorUnico, 0.05671167, 0.0260396, 1.652947, 0.09965697, 0.126866, 0.8879655, -0.4289288, 0.08677697, 1.660642, 0.1214935, 0.1317212, 0.8792616, -0.437357
23.64357, trofeo, MostradorUnico, 0.1121445, -0.02919292, 1.684785, -0.05003935, -0.03502054, 0.882896, -0.2158262, 0.0228591, 1.691723, -0.08834636, -0.031141, 0.8933308, -0.2173169
23.88025, trofeo, MostradorUnico, 0.2098465, -0.03149986, 1.679634, 0.01058412, 0.06964073, -0.7676959, 0.2126826, 0.02035475, 1.685623, -0.02814877, 0.06827829, -0.7838365, 0.219071
25.73094, trofeo, MostradorUnico, 0.4176731, -0.1185782, 1.589643, 0.14601, -0.1529649, -0.7841383, 0.09917633, -0.06649542, 1.614726, 0.1162916, -0.1473748, -0.796679, 0.1141973
25.77293, trofeo, MostradorUnico, 0.02777481, -0.1254117, 1.596338, 0.1500016, -0.1643528, -0.7964448, 0.09435255, -0.07281494, 1.622213, 0.1219101, -0.1587855, -0.8083718, 0.1099464
27.36038, trofeo, MostradorUnico, 0.2509861, -0.1328719, 1.677499, 0.1406358, -0.1299438, -0.5921597, 0.02927053, -0.08385324, 1.691476, 0.100302, -0.1243868, -0.6103882, 0.03567996
28.40554, trofeo, MostradorUnico, 0.05649948, -0.01341128, 1.722805, -0.1918069, 0.07717451, 0.9234595, -0.02090712, 0.04559016, 1.73348, -0.2169044, 0.07726157, 0.9326705, -0.0280493
28.54374, zapatillas, MostradorUnico, 0.1118851, -0.09647369, 1.681782, 0.01885217, 0.07363697, 0.9302679, 0.04405447, -0.03550649, 1.692866, -0.0007724166, 0.0739353, 0.9395185, 0.03753468
28.78038, trofeo, MostradorUnico, 0.1953144, 0.02270269, 1.704729, -0.04139638, -0.04293836, -0.7260124, -0.06309555, 0.07483315, 1.712262, -0.07948422, -0.04271789, -0.7437352, -0.05891087
31.16079, trofeo, MostradorUnico, 1.949215, -0.05180478, 1.693272, -0.03481823, 0.08828091, 0.8886991, 0.03284584, 0.007924795, 1.705999, -0.05707514, 0.08746829, 0.9001824, 0.0251713
31.36948, trofeo, MostradorUnico, 0.1812706, -0.02745962, 1.679217, -0.06341404, 0.1004803, 0.9288834, -0.01010875, 0.03385401, 1.694219, -0.07892478, 0.09984193, 0.9374729, -0.01967505
32.32925, zapatillas, MostradorUnico, 0.9597645, -0.03697658, 1.662101, -0.052921, 0.06050512, 0.905807, -0.2320845, 0.02561975, 1.676538, -0.06283385, 0.06071265, 0.9115096, -0.2449826
32.83066, trofeo, MostradorUnico, 0.4596176, -0.02863002, 1.656247, -0.08021438, 0.06854454, 0.8879285, -0.2477288, 0.03277969, 1.673342, -0.09292662, 0.06848966, 0.8940149, -0.2619635
33.01246, trofeo, MostradorUnico, 0.1669769, -0.03239512, 1.653248, -0.08691889, 0.07704748, 0.895474, -0.2630381, 0.02940512, 1.670654, -0.09705532, 0.07718216, 0.9004366, -0.2774998
34.07001, zapatillas, MostradorUnico, 1.085014, -0.06860948, 1.658909, -0.05598927, 0.08936052, 0.8743583, -0.185041, -0.007609367, 1.676602, -0.06980747, 0.08700032, 0.8820824, -0.1991671
34.46034, trofeo, MostradorUnico, 0.5294838, -0.05486393, 1.654468, -0.06287038, 0.06956911, 0.897567, -0.2683977, 0.005388021, 1.671708, -0.08011669, 0.07025446, 0.9034266, -0.2803459
34.62791, zapatillas, MostradorUnico, 0.1405678, -0.05483055, 1.655911, -0.05430412, 0.08000116, 0.8844604, -0.220838, 0.005737066, 1.673406, -0.07013053, 0.07877041, 0.8916439, -0.2342843
34.72487, trofeo, MostradorUnico, 0.09696198, -0.05304766, 1.657191, -0.05290025, 0.08265213, 0.887749, -0.2192951, 0.007621288, 1.67476, -0.06825066, 0.08144179, 0.8947448, -0.2327512
34.89161, trofeo, MostradorUnico, 0.1398964, -0.04992151, 1.65771, -0.05242956, 0.08078462, 0.8884398, -0.2239338, 0.01090813, 1.67525, -0.06716561, 0.07980178, 0.8952289, -0.2375733
35.12819, trofeo, MostradorUnico, 0.2217026, -0.05497789, 1.652431, -0.04224604, 0.07946685, 0.8875796, -0.2240672, 0.005826712, 1.670025, -0.05702013, 0.07850259, 0.8943961, -0.2377614
35.35128, trofeo, MostradorUnico, 0.208683, -0.05476475, 1.658471, -0.04592782, 0.08096889, 0.8979753, -0.2263322, 0.006459475, 1.676022, -0.05890989, 0.08063199, 0.9040629, -0.240088
38.42747, zapatillas, MostradorUnico, 3.159843, -0.06152344, 1.653466, -0.04620433, -0.008739607, 0.8870924, -0.4015196, 0.001849651, 1.660991, -0.05854046, -0.003569742, 0.8917762, -0.4077979
38.56766, zapatillas, MostradorUnico, 0.09841919, -0.05430484, 1.659298, -0.04901791, -0.01095264, 0.8934656, -0.3747174, 0.008875608, 1.666266, -0.06260747, -0.006722328, 0.8987779, -0.3809492
39.58444, zapatillas, MostradorUnico, 0.5986176, -0.05592942, 1.657804, -0.05801302, 0.0118317, 0.8963982, -0.319811, 0.007449865, 1.666911, -0.0691995, 0.01369141, 0.9019755, -0.3294241
39.72362, zapatillas, MostradorUnico, 0.04194641, -0.05403256, 1.661849, -0.05786288, 0.01988303, 0.9129866, -0.3176142, 0.009410381, 1.670891, -0.06873691, 0.02229935, 0.9176113, -0.3256903
40.36332, zapatillas, MostradorUnico, 0.2929039, -0.06125093, 1.662157, -0.0561772, 0.05622476, 0.9582796, -0.239146, 0.002310038, 1.672287, -0.06525528, 0.05712662, 0.960469, -0.2452427
40.39088, seta, MostradorUnico, 0.263195, -0.06260729, 1.660582, -0.05571389, 0.05663111, 0.9580723, -0.2395478, 0.0009326935, 1.670804, -0.0648365, 0.05752766, 0.9602635, -0.2456869
40.40533, zapatillas, MostradorUnico, 0.01444244, -0.06234241, 1.661477, -0.05534893, 0.05674708, 0.9579678, -0.2396961, 0.001194477, 1.67171, -0.06448036, 0.05764089, 0.9601653, -0.2458511
44.72115, zapatillas, MostradorUnico, 4.176804, -0.1702957, 1.675206, 0.04251969, -0.03886893, -0.8418218, 0.1173949, -0.1141109, 1.686064, 0.01169229, -0.03735537, -0.854763, 0.1249067
46.86541, trofeo, MostradorUnico, 2.29792, -0.1628685, 1.71053, 0.05473834, -0.1153122, -0.7998846, -0.1169366, -0.1096172, 1.721699, 0.01917779, -0.1135694, -0.8158079, -0.1117692
46.9072, trofeo, MostradorUnico, 0.01525497, -0.1732795, 1.70169, 0.02756625, -0.1121149, -0.8186842, -0.1126631, -0.1187062, 1.713196, -0.005815923, -0.110586, -0.8338506, -0.1070439
47.54727, pulpo, MostradorUnico, 0.5154381, -0.1568196, 1.701984, -0.007674217, 0.109243, 0.9531915, 0.07253455, -0.09566402, 1.715968, 0.009339213, 0.1129509, 0.9460404, 0.06414804
47.77058, pulpo, MostradorUnico, 0.2089958, -0.07557249, 1.706593, -0.02887809, 0.110976, 0.938606, 0.05798623, -0.01642323, 1.720527, -0.005808711, 0.1153577, 0.9300016, 0.04983862
47.85299, pulpo, MostradorUnico, 0.06875992, -0.05642414, 1.703402, -0.03025317, 0.1187033, 0.9214142, 0.05601864, 0.001422405, 1.718219, -0.004578412, 0.1233882, 0.9116747, 0.04749892
49.46802, pulpo, MostradorUnico, 0.9183807, -0.1684287, 1.652292, -0.07826912, 0.01731132, 0.8830578, -0.4372866, -0.1047065, 1.6614, -0.08729583, 0.02333472, 0.8856041, -0.4432649
49.6073, pulpo, MostradorUnico, 0.1251068, -0.1376572, 1.641633, -0.07030374, 0.02356914, 0.8568241, -0.4915378, -0.07382131, 1.651439, -0.07763863, 0.02997726, 0.8584467, -0.497896
49.78832, pulpo, MostradorUnico, 0.1664162, -0.08712769, 1.639372, -0.08163422, 0.02147268, 0.8384207, -0.5147453, -0.02336907, 1.649639, -0.08900946, 0.02741246, 0.8402051, -0.522384
50.19206, pulpo, MostradorUnico, 0.3896599, -0.08557963, 1.638792, -0.06762666, -0.03852217, 0.7954364, -0.4563797, -0.02382779, 1.64812, -0.08564389, -0.03669512, 0.8032702, -0.4683237
52.64261, pulpo, MostradorUnico, 0.1949577, -0.1742156, 1.649753, -0.05260402, 0.07188435, -0.7254156, 0.3776743, -0.1200988, 1.658473, -0.08753759, 0.07324662, -0.7400317, 0.3868366
53.96545, pulpo, MostradorUnico, 0.2763672, -0.1833253, 1.63661, -0.06083846, -0.1205892, 0.7379065, -0.5055088, -0.1286623, 1.64462, -0.09508491, -0.1161056, 0.7522908, -0.5107622
56.47139, pulpo, MostradorUnico, 0.04239655, -0.1866693, 1.633451, -0.0730173, 0.1585891, -0.6703997, 0.4947344, -0.1344116, 1.642562, -0.1105824, 0.1534647, -0.6882328, 0.5047148
57.08406, pulpo, MostradorUnico, 0.4740829, -0.1829, 1.627077, -0.05191559, 0.2029679, -0.5564614, 0.4908082, -0.1322148, 1.635666, -0.09169269, 0.2014769, -0.5771258, 0.5073645
57.26471, pulpo, MostradorUnico, 0.1534386, -0.1813867, 1.621063, -0.05865705, 0.2104654, -0.5407744, 0.5234129, -0.1299579, 1.629656, -0.09746712, 0.2086135, -0.5617257, 0.5409833
64.71266, pulpo, MostradorUnico, 0.6260223, -0.2492454, 1.70188, -0.115373, 0.08921801, 0.9926686, -0.04810768, -0.1851912, 1.712852, -0.1166829, 0.09049489, 0.990219, -0.05429862
65.88319, pulpo, MostradorUnico, 1.156189, -0.1673098, 1.720435, -0.08382833, 0.1296771, 0.9611294, -0.01632065, -0.107626, 1.735165, -0.06271178, 0.1335136, 0.9539538, -0.02547587
66.04922, quemador, MostradorUnico, 0.05541992, -0.1142066, 1.684955, -0.1824641, 0.2662709, 0.6368686, -0.1409148, -0.07168508, 1.705099, -0.1376188, 0.2724085, 0.6156476, -0.1459081
88.35265, seta, MostradorUnico, 0.06922913, -0.2023685, 1.655591, -0.03922808, 0.1173515, 0.9265718, -0.3373174, -0.1398463, 1.66876, -0.0272882, 0.1190056, 0.9237477, -0.351593
88.77056, trofeo, MostradorUnico, 0.04198456, -0.1353929, 1.666481, -0.04897153, -0.09828649, -0.8022605, 0.2159778, -0.07645249, 1.685369, -0.06882828, -0.0929946, -0.8116817, 0.2309187
88.86756, trofeo, MostradorUnico, 0.05400085, -0.1133733, 1.642541, -0.100706, 0.09491974, 0.8339975, -0.2737763, -0.05414581, 1.662672, -0.1183648, 0.09108671, 0.8415275, -0.2891009
89.28612, trofeo, MostradorUnico, 0.01344299, -0.007153511, 1.622766, -0.01214629, 0.0868177, 0.8625019, -0.3151267, 0.05266213, 1.642722, -0.02792352, 0.08475663, 0.8681577, -0.3293059
89.41103, trofeo, MostradorUnico, 0.09810638, 0.05020404, 1.63209, 0.005202353, -0.1027457, -0.7909526, 0.2406834, 0.1091986, 1.652441, -0.01297694, -0.09683888, -0.7995696, 0.2565764
96.08057, seta, MostradorUnico, 0.20961, -0.0795331, 1.616796, 0.003295779, 0.05575638, 0.8237442, -0.5403318, -0.01539445, 1.627281, 0.00442487, 0.05910457, 0.8221944, -0.5512084
96.62261, seta, MostradorUnico, 0.3344193, -0.05020094, 1.627124, 0.01857036, 0.0553725, 0.8322916, -0.5444527, 0.01423001, 1.634655, 0.02268231, 0.05944338, 0.8296542, -0.5524501
100.6053, seta, MostradorUnico, 3.703613, -0.01933265, 1.632924, -0.03524911, 0.0599818, 0.8089976, -0.5322768, 0.04542089, 1.634334, -0.02977419, 0.06269494, 0.8046685, -0.5229214
102.7481, seta, MostradorUnico, 2.003952, -0.04716682, 1.638507, -0.009246588, 0.07267435, 0.8464448, -0.5165942, 0.01713395, 1.643303, -0.001038313, 0.07654526, 0.8411888, -0.5166026
102.8874, seta, MostradorUnico, 0.1249313, -0.04906416, 1.639313, -0.003412545, 0.0679938, 0.8448561, -0.5272489, 0.01526475, 1.644178, 0.004532695, 0.07254779, 0.8400978, -0.5292239
104.7533, zapatillas, MostradorUnico, 0.06951904, -0.09362841, 1.694128, 0.08955559, 0.1196481, 0.8893272, 0.02052256, -0.03238988, 1.706123, 0.07136324, 0.1162822, 0.9004264, 0.0147231
105.0316, trofeo, MostradorUnico, 0.08382416, -0.02586341, 1.686146, -0.00698626, -0.09104065, -0.8528403, -0.05063448, 0.03162408, 1.698325, -0.034769, 0.08973046, 0.8662619, 0.04398109
111.4076, zapatillas, MostradorUnico, 5.875244, -0.06227922, 1.700897, 0.01230955, 0.03847228, 0.9245725, 0.004649764, -4.053116E-06, 1.708724, -0.00458765, 0.03931826, 0.9340705, -0.0007850861
111.9928, zapatillas, MostradorUnico, 0.1813507, -0.1301861, 1.70341, 0.03308016, 0.05861727, 0.9283994, 0.03194306, -0.0699563, 1.711703, 0.01008815, 0.05899171, 0.9379309, 0.026761
112.4101, zapatillas, MostradorUnico, 0.04122925, -0.09665298, 1.683931, -0.03725636, 0.09432143, 0.9941167, -0.03854081, -0.03481531, 1.695927, -0.05329293, 0.0953991, 0.9943467, -0.04448548
112.5634, pulpo, MostradorUnico, 0.1117935, -0.03803253, 1.6876, -0.1946108, 0.1232713, 0.9124448, -0.06053837, 0.02299738, 1.700438, -0.1762917, 0.1260042, 0.9022039, -0.06611091
112.6329, quemador, MostradorUnico, 0.0270462, -0.03552175, 1.692567, -0.2108489, 0.1911081, 0.5605661, -0.0835637, 0.009442568, 1.708679, -0.1667627, 0.1948147, 0.5415518, -0.08699178
113.5526, quemador, MostradorUnico, 0.02799225, 0.02708316, 1.677427, 0.2597633, 0.113748, 0.9302363, -0.1124587, 0.08236098, 1.686724, 0.2926719, 0.1182404, 0.9208656, -0.1195362
113.764, trofeo, MostradorUnico, 0.01692963, 0.0579989, 1.642578, 0.2443308, 0.01024853, -0.6827981, 0.1920079, 0.1148026, 1.652952, 0.2144867, 0.01596837, -0.6954621, 0.2042048
115.6673, zapatillas, MostradorUnico, 0.4165802, 0.04078078, 1.664974, -0.02770591, 0.07229243, 0.9927725, -0.09305418, 0.10495, 1.674738, -0.03117216, 0.07246835, 0.9913106, -0.09834295
115.988, pulpo, MostradorUnico, 0.09737396, -0.04856634, 1.670468, 0.0350157, 0.03441944, 0.9993918, 0.004576931, 0.01529813, 1.675993, 0.02425522, 0.03285814, 0.9990526, 0.0009969327
116.2809, pulpo, MostradorUnico, 0.06986237, -0.1315045, 1.705621, 0.03110301, 0.0316629, 0.9843659, 0.05257366, -0.06753516, 1.710481, 0.02064604, 0.03434757, 0.988512, 0.04950801
