Timestamp, TPHotspot, HMD_x, HMD_y, MHD_z, Duration, WasTP
3.75741, TP_Juguetes, 4.483, 0, 9.55, 0.1799417, False
3.882386, TP_Juguetes, 4.483, 0, 9.55, 0.06761575, False
6.104635, TP_MedioNull, 4.483, 0, 9.55, 1.02406, False
7.452261, TP_MedioNull, 1.054239, 0.3810019, 6.375447, 1.2157, True
10.14851, TP_Tecnologia_2, 1.054239, 0.3810019, 6.375447, 0.6717243, False
10.96987, TP_Tecnologia_2, 1.054239, 0.3810019, 6.375447, 0.2685385, False
13.72738, TP_Decoracion_3, 1.054239, 0.3810019, 6.375447, 2.005096, False
15.45321, TP_Decoracion_3, -2.896321, 0.3810018, 3.562802, 0.5985641, True
15.46645, TP_MedioNull, -2.896321, 0.3810018, 3.562802, 1.487373, False
18.44625, TP_Tecnologia_2, -2.896321, 0.3810018, 3.562802, 0.4298916, False
19.95016, TP_Tecnologia_2, -2.896321, 0.3810018, 3.562802, 0.1393185, False
20.82695, TP_Tecnologia_2, -2.896321, 0.3810018, 3.562802, 0.4296455, False
21.74052, TP_Tecnologia_2, -3.423499, 0.3810031, -1.232638, 0.7787113, True
23.20929, TP_Null, -3.423499, 0.3810031, -1.232638, 1.363373, False
24.21029, TP_Null, -3.423499, 0.3810031, -1.232638, 0.4783363, False
25.6445, TP_Null, -1.371316, 0.3810023, -5.277527, 0.6116619, True
34.08182, TP_Null, -1.371316, 0.3810023, -5.277527, 0.2517319, False
34.31695, TP_Alimentacion, -1.371316, 0.3810023, -5.277527, 0.00579834, False
34.56771, TP_Tecnologia, -1.371316, 0.3810023, -5.277527, 0.3481331, False
36.18457, TP_Tecnologia, -0.5706236, 0.3810008, -0.2661152, 1.141228, True
36.19703, TP_Null, -0.5706236, 0.3810008, -0.2661152, 1.336403, False
37.60318, TP_Moda, -0.5706236, 0.3810008, -0.2661152, 0.1525078, False
40.20604, TP_Moda, 3.750118, 0.3809993, 3.719419, 1.197041, True
41.67052, TP_Moda, 3.750118, 0.3809993, 3.719419, 0.6122627, False
44.45373, TP_Juguetes, 4.988979, 0.3810023, 6.955155, 2.67358, True
53.8647, TP_Moda, 4.988979, 0.3810023, 6.955155, 0.3066025, False
53.98915, TP_Moda, 4.988979, 0.3810023, 6.955155, 0.1091728, False
55.82702, TP_MedioNull, 4.988979, 0.3810023, 6.955155, 1.058041, False
56.91232, TP_MedioNull, 0.7246401, 0.3810048, 5.437335, 0.667778, True
57.55477, TP_Decoracion_3, 0.7246401, 0.3810048, 5.437335, 0.6279526, False
58.26412, TP_Decoracion_3, 0.7246401, 0.3810048, 5.437335, 0.3625488, False
60.50502, TP_Decoracion, -3.880795, 0.3810012, 5.483582, 2.240902, True
62.57922, TP_Decoracion, -5.339657, 0.3810023, 5.116621, 1.071743, True
63.84616, TP_Decoracion_2, -5.339657, 0.3810023, 5.116621, 0.3881683, False
64.47256, TP_Decoracion_2, -5.339657, 0.3810023, 5.116621, 0.2573395, False
65.22501, TP_Decoracion_3, -5.339657, 0.3810023, 5.116621, 0.1256256, False
65.9898, TP_Decoracion_3, -5.339657, 0.3810023, 5.116621, 0.2080383, False
67.21532, TP_Decoracion, -5.339657, 0.3810023, 5.116621, 1.225517, False
69.06725, TP_Decoracion, -4.157115, 0.3810019, 5.005198, 1.364403, True
69.95756, TP_Decoracion_3, -4.157115, 0.3810019, 5.005198, 0.06954956, False
87.41637, TP_Tecnologia, -4.157115, 0.3810019, 5.005198, 1.113785, False
89.01777, TP_Alimentacion, -4.157115, 0.3810019, 5.005198, 0.4017868, False
89.40721, TP_Tecnologia, -0.2749256, 0.3809969, 0.9982991, 0.3894424, True
90.54897, TP_Alimentacion_3, -0.2749256, 0.3809969, 0.9982991, 0.7792511, False
91.20344, TP_Alimentacion, -0.2749256, 0.3809969, 0.9982991, 0.6544647, False
91.64495, TP_Alimentacion, -0.2749256, 0.3809969, 0.9982991, 0.02307129, False
91.99883, TP_Moda, 1.923162, 0.380996, 1.357313, 0.3219528, False
92.26322, TP_Moda, 1.923162, 0.380996, 1.357313, 0.1821671, False
92.58107, TP_Alimentacion_2, 1.923162, 0.380996, 1.357313, 0.1093903, False
113.1864, TP_Moda, 4.685628, 0.3810024, 2.589352, 1.685143, True
116.096, TP_Moda, 5.495831, 0.3810005, 3.28779, 2.101883, True
116.319, TP_Moda, 5.495831, 0.3810005, 3.28779, 0.1946335, False
125.6339, TP_Moda, 6.118824, 0.3810038, 2.137736, 1.20182, True
135.7683, TP_Moda, 4.991386, 0.3810055, 1.813005, 1.641342, True
138.7471, TP_Moda, 4.991386, 0.3810055, 1.813005, 0.8415375, False
141.5443, TP_Moda, 4.991386, 0.3810055, 1.813005, 1.678986, False
142.7275, TP_Moda, 4.991386, 0.3810055, 1.813005, 0.02674866, False
143.1199, TP_Moda, 4.991386, 0.3810055, 1.813005, 0.378067, False
144.8166, TP_Moda, 4.991386, 0.3810055, 1.813005, 1.628723, False
145.011, TP_Moda, 4.991386, 0.3810055, 1.813005, 0.1807404, False
