Timestamp, Object Name, Section, Collision Duration, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z
4.805551, letrero_juguetes, ==LETREROS==, 0.6807256, 4.570351, 1.710767, 9.37311, 0.05703226, 0.9721931, 0.1713822, 4.436017, 1.733695, 9.334856, 0.05703226, 0.9721931, 0.1713822
6.267831, letrero_juguetes, ==LETREROS==, 0.8210239, 4.633276, 1.709263, 9.36926, 0.04900909, 0.9803366, 0.191117, 4.492416, 1.722673, 9.372894, 0.04900909, 0.9803366, 0.191117
6.309748, letrero_juguetes, ==LETREROS==, 0.02785254, 4.646294, 1.71012, 9.367916, 0.05504354, 0.980209, 0.189291, 4.505702, 1.724422, 9.375903, 0.05504354, 0.980209, 0.189291
26.83014, octopus_teddy, Juguetes, 0.02744675, 3.087043, 2.06625, -4.505627, -0.01660682, 0.08568262, 0.0532459, 3.225706, 2.080841, -4.530005, -0.01660682, 0.08568262, 0.0532459
26.88634, letrero_juguetes, ==LETREROS==, 0.01442146, 3.06003, 2.071403, -4.508862, -0.05713021, 0.05373138, 0.06101745, 3.199702, 2.087721, -4.524985, -0.05713021, 0.05373138, 0.06101745
36.58971, octopus_teddy, Juguetes, 0.1249123, 4.813696, 2.026515, 6.456353, 0.1409535, 0.2442888, 0.0275294, 4.938131, 2.043737, 6.391131, 0.1409535, 0.2442888, 0.0275294
36.63303, octopus_teddy, Juguetes, 0.02921295, 4.815669, 2.0272, 6.46186, 0.1390052, 0.2623975, 0.02542308, 4.937538, 2.044395, 6.391955, 0.1390052, 0.2623975, 0.02542308
37.0074, baby_yoda, Juguetes, 0.3743668, 4.747715, 2.013525, 6.536194, 0.2057481, 0.2673303, -0.01460708, 4.868967, 2.025203, 6.46411, 0.2057481, 0.2673303, -0.01460708
37.66321, octopus_teddy, Juguetes, 0.09843063, 4.878191, 2.011083, 7.292139, 0.2102266, 0.3975815, -0.01239142, 4.974943, 2.031611, 7.190886, 0.2102266, 0.3975815, -0.01239142
37.7034, octopus_teddy, Juguetes, 0.01445389, 4.879116, 2.011341, 7.29251, 0.2077285, 0.4231329, -0.01456682, 4.969915, 2.032587, 7.186027, 0.2077285, 0.4231329, -0.01456682
38.10696, baby_yoda, Juguetes, 0.09767532, 4.891743, 2.012308, 7.273856, 0.1974376, 0.616029, -0.03656456, 4.925478, 2.038855, 7.138979, 0.1974376, 0.616029, -0.03656456
40.57122, octopus_teddy, Juguetes, 0.3897972, 4.835824, 2.01047, 7.143984, 0.2103526, 0.2063572, 0.03169309, 4.965028, 2.031327, 7.090079, 0.2103526, 0.2063572, 0.03169309
42.92473, baby_yoda, Juguetes, 1.503689, 4.500454, 1.95808, 7.098784, 0.2174601, -0.4289536, 0.2345926, 4.57433, 1.987776, 7.21581, 0.2174601, -0.4289536, 0.2345926
47.00385, Hoodie, Moda, 0.3193741, 5.0665, 2.052054, 7.235283, 0.07491297, 0.9775106, -0.00948298, 4.937521, 2.072255, 7.180595, 0.07491297, 0.9775106, -0.00948298
48.09013, Hoodie, Moda, 0.3899956, 5.065737, 2.053248, 7.044849, 0.06173172, 0.9947222, 0.0111506, 4.927139, 2.070888, 7.022181, 0.06173172, 0.9947222, 0.0111506
77.22802, LAPTOP, Tecnologia, 0.04214478, -4.666599, 2.044634, 2.025069, 0.06452062, 0.8675408, -0.05278601, -4.738903, 2.053152, 1.903685, 0.06452062, 0.8675408, -0.05278601
77.27006, LAPTOP, Tecnologia, 0.02753448, -4.660041, 2.044916, 2.030717, 0.06544074, 0.8746598, -0.04907133, -4.735749, 2.054482, 1.911506, 0.06544074, 0.8746598, -0.04907133
77.45145, cascos, Tecnologia, 0.04216003, -4.639103, 2.04793, 2.046341, 0.07009286, 0.8911839, -0.02357632, -4.722547, 2.062626, 1.932959, 0.07009286, 0.8911839, -0.02357632
79.16449, letrero_alimentacion, ==LETREROS==, 0.041008, -4.870165, 2.079289, 1.794529, -0.0964902, 0.7523459, 0.03616897, -4.889226, 2.065401, 1.654965, -0.0964902, 0.7523459, 0.03616897
79.51193, letrero_moda, ==LETREROS==, 0.06877136, -4.832967, 2.073106, 1.953208, -0.05204573, 0.6701846, 0.04243749, -4.819081, 2.072112, 1.812351, -0.05204573, 0.6701846, 0.04243749
80.01301, Hoodie, Moda, 0.06931305, -4.77637, 2.0562, 2.13119, 0.003829076, 0.6708097, -0.01836847, -4.762307, 2.053072, 1.990382, 0.003829076, 0.6708097, -0.01836847
80.08349, Maniquines, Moda, 0.05630493, -4.772309, 2.051473, 2.129632, 0.01559731, 0.6940376, -0.03313169, -4.767437, 2.047794, 1.98822, 0.01559731, 0.6940376, -0.03313169
83.44017, TAKIS, Alimentacion, 0.05754852, -0.3118335, 2.041348, 1.024505, 0.07848708, 0.8431783, -0.05327358, -0.3723539, 2.052102, 0.8970058, 0.07848708, 0.8431783, -0.05327358
83.68853, kellogs, Alimentacion, 0.2483597, -0.27333, 2.025255, 1.069246, 0.1086159, 0.8463897, -0.110735, -0.3380543, 2.035309, 0.9437696, 0.1086159, 0.8463897, -0.110735
89.32698, Maniquines, Moda, 1.239342, 4.794845, 2.044313, 2.169494, 0.06250053, 0.3153935, 0.01402884, 4.908173, 2.053653, 2.085209, 0.06250053, 0.3153935, 0.01402884
89.6898, Hoodie, Moda, 0.4046478, 4.782503, 2.034237, 2.082087, 0.1116391, 0.2122685, 0.01072717, 4.911258, 2.043893, 2.024093, 0.1116391, 0.2122685, 0.01072717
91.08253, Hoodie, Moda, 0.8096619, 4.758959, 2.056906, 2.056997, 0.02148484, 0.3692419, 0.07338219, 4.860382, 2.078392, 1.960631, 0.02148484, 0.3692419, 0.07338219
91.48486, Maniquines, Moda, 0.2788849, 4.792425, 2.044841, 2.029776, 0.07305633, 0.5176662, 0.04361262, 4.857568, 2.066058, 1.905919, 0.07305633, 0.5176662, 0.04361262
91.56749, Maniquines, Moda, 0.05575562, 4.798422, 2.038119, 2.024166, 0.09486861, 0.5338019, 0.02138282, 4.859172, 2.057539, 1.897806, 0.09486861, 0.5338019, 0.02138282
92.40372, zapatillas, Moda, 0.06999207, 5.941297, 2.028347, 1.945913, 0.1276189, 0.7022921, -0.05900395, 5.942233, 2.042063, 1.805039, 0.1276189, 0.7022921, -0.05900395
93.54762, Mochila, Moda, 0.8379135, 5.840411, 2.096358, 2.142858, -0.06075681, 0.9075614, 0.1760824, 5.740007, 2.099508, 2.043139, -0.06075681, 0.9075614, 0.1760824
93.67012, Mochila, Moda, 0.09777832, 5.823773, 2.098222, 2.10359, -0.08320422, 0.9084944, 0.1867436, 5.721796, 2.096091, 2.005454, -0.08320422, 0.9084944, 0.1867436
95.18716, Mochila, Moda, 1.238068, 5.760717, 2.093052, 1.908272, -0.09092912, 0.7481138, 0.154284, 5.737086, 2.101701, 1.768983, -0.09092912, 0.7481138, 0.154284
97.66772, Mochila, Moda, 2.466187, 5.777284, 2.065006, 2.123848, 0.0215563, 0.9395839, 0.02221677, 5.668774, 2.072884, 2.033306, 0.0215563, 0.9395839, 0.02221677
97.98589, Mochila, Moda, 0.2932434, 5.744205, 2.057678, 2.074127, 0.04055039, 0.9331167, -0.02028473, 5.639146, 2.066341, 1.97967, 0.04055039, 0.9331167, -0.02028473
103.0402, Mochila, Moda, 0.6125031, 5.908002, 1.992931, 2.124363, 0.06978271, 0.9380988, -0.2630312, 5.780836, 1.995507, 2.062263, 0.06978271, 0.9380988, -0.2630312
103.0824, Mochila, Moda, 0.01403046, 5.907284, 1.993166, 2.125109, 0.0696828, 0.9375703, -0.263524, 5.780324, 1.995546, 2.062578, 0.0696828, 0.9375703, -0.263524
110.7515, Mochila, Moda, 2.031067, 5.820524, 1.97942, 2.06224, -0.09518833, 0.7082939, -0.25997, 5.800917, 2.008123, 2.199449, -0.09518833, 0.7082939, -0.25997
118.772, Maniquines, Moda, 0.5014801, 5.766405, 2.047216, 2.049129, -0.005026571, -0.1267219, 0.09621913, 5.900782, 2.074287, 2.084409, -0.005026571, -0.1267219, 0.09621913
119.3854, Hoodie, Moda, 0.09777832, 5.895021, 2.051117, 1.947786, 0.01036504, 0.05034156, 0.0558552, 6.034964, 2.067031, 1.93374, 0.01036504, 0.05034156, 0.0558552
119.4685, Maniquines, Moda, 0.1382141, 5.925515, 2.049654, 1.945257, 0.0278114, 0.1663363, 0.05018942, 6.058513, 2.06495, 1.899299, 0.0278114, 0.1663363, 0.05018942
121.1405, TAKIS, Alimentacion, 0.07118225, 5.697903, 2.040156, 1.949528, 0.05510398, 0.8648794, -0.09004885, 5.625397, 2.066157, 2.068278, 0.05510398, 0.8648794, -0.09004885
122.3082, letrero_decoracion, ==LETREROS==, 0.097435, 5.733274, 2.070322, 1.771268, 0.1001595, 0.7017665, -0.01042566, 5.735373, 2.092301, 1.911079, 0.1001595, 0.7017665, -0.01042566
123.3525, letrero_tecnologia, ==LETREROS==, 0.2914505, 5.731436, 2.072509, 1.800148, 0.05635002, 0.7677241, 0.03761199, 5.705728, 2.077971, 1.939229, 0.05635002, 0.7677241, 0.03761199
123.4231, letrero_tecnologia, ==LETREROS==, 0.05632019, 5.730785, 2.072378, 1.803487, 0.04905051, 0.7645202, 0.03619001, 5.706496, 2.07642, 1.942872, 0.04905051, 0.7645202, 0.03619001
123.5905, letrero_decoracion, ==LETREROS==, 0.02896118, 5.719804, 2.071926, 1.838432, 0.03690411, 0.6875829, 0.02067033, 5.727392, 2.074868, 1.979742, 0.03690411, 0.6875829, 0.02067033
132.8618, kellogs, Alimentacion, 0.02857971, 1.884455, 1.997823, 1.005063, 0.009168068, 0.9221285, -0.2431552, 1.768547, 2.020921, 1.082949, 0.009168068, 0.9221285, -0.2431552
