Timestamp, Object Name, Section, Collision Duration, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z
1.382201, seta, MostradorUnico, 0.6404789, -0.1646817, 1.683632, -0.0595175, 0.04975617, 0.9725596, -0.1504424, -0.1012616, 1.688224, -0.04603487, 0.05037847, 0.9670941, -0.1527329
1.563539, quemador, MostradorUnico, 0.04291344, -0.2172856, 1.683589, -0.185463, 0.1150883, 0.6672326, -0.1481458, -0.1766362, 1.689379, -0.1350736, 0.1162739, 0.6465859, -0.1489593
15.44518, seta, MostradorUnico, 0.2788916, -0.1006744, 1.681335, 0.1334121, -0.005926247, 0.9881219, -0.02641743, -0.03590536, 1.678484, 0.128737, -0.009247284, 0.9918208, -0.02411902
15.61161, zapatillas, MostradorUnico, 0.08371162, -0.1165822, 1.73605, 0.05090302, 0.06415293, 0.8984326, 0.3100396, -0.05291224, 1.734137, 0.03796184, 0.05876566, 0.9060046, 0.3163203
16.32508, quemador, MostradorUnico, 0.01434898, -0.05723572, 1.732337, -0.2578146, 0.09959379, 0.741586, 0.1513657, -0.003409386, 1.745763, -0.2239388, 0.1059827, 0.7266555, 0.1427344
16.44809, quemador, MostradorUnico, 0.04170799, -0.1078832, 1.710396, -0.1239787, 0.04344613, 0.8630069, 0.2084384, -0.05160379, 1.722022, -0.09360701, 0.04718158, 0.851613, 0.2013111
16.57192, pulpo, MostradorUnico, 0.04185104, -0.1146972, 1.712726, -0.1058608, 0.03458502, 0.9025696, 0.2111175, -0.05439782, 1.72181, -0.08335572, 0.03722062, 0.8931997, 0.2047941
17.00431, pulpo, MostradorUnico, 0.04252625, -0.2534153, 1.706176, -0.1828974, 0.04426766, 0.9456705, 0.1649539, -0.1916735, 1.71516, -0.1646697, 0.04525664, 0.9387234, 0.1588547
17.1286, quemador, MostradorUnico, 0.05559158, -0.2567041, 1.7066, -0.2897589, 0.1194323, 0.6531687, -0.01520613, -0.2061498, 1.717365, -0.2503462, 0.1229225, 0.6350656, -0.01875063
18.80065, pulpo, MostradorUnico, 0.1676846, -0.3325796, 1.71086, -0.1195155, 0.05335689, 0.9550345, 0.2282105, -0.2702723, 1.72172, -0.1045205, 0.05326423, 0.9510534, 0.2219719
19.0655, pulpo, MostradorUnico, 0.2380676, -0.3363054, 1.712518, -0.122515, 0.04665481, 0.9565104, 0.2593881, -0.2729108, 1.721931, -0.1116772, 0.04725126, 0.9539276, 0.2542439
19.8291, pulpo, MostradorUnico, 0.5002365, -0.158515, 1.723691, -0.1722877, 0.04026809, 0.925083, 0.2150474, -0.09815598, 1.733508, -0.1502562, 0.04184901, 0.9175023, 0.2085271
19.91315, pulpo, MostradorUnico, 0.06966591, -0.1167061, 1.722121, -0.1818748, 0.05250987, 0.9046293, 0.1841017, -0.05857706, 1.733851, -0.1552585, 0.05450262, 0.8953077, 0.1764332
20.14963, quemador, MostradorUnico, 0.08319855, -0.05194783, 1.698631, -0.1709929, 0.199901, 0.7825235, -0.1259491, -0.002052546, 1.713168, -0.1319526, 0.2062303, 0.7646469, -0.1309215
20.47016, pulpo, MostradorUnico, 0.1241589, -0.0719893, 1.659687, -0.1019516, 0.2136014, 0.8021307, -0.4366137, -0.01484132, 1.668081, -0.072142, 0.2237405, 0.7849138, -0.4368515
23.14449, pulpo, MostradorUnico, 0.01498032, -0.1428249, 1.646243, -0.06081587, 0.03964242, 0.8604512, -0.4747245, -0.07844663, 1.654605, -0.06405807, 0.04000437, 0.861589, -0.4831279
23.38075, pulpo, MostradorUnico, 0.2094421, -0.1041982, 1.63967, -0.09021908, 0.02355967, 0.8735862, -0.4667788, -0.03961468, 1.646252, -0.09347713, 0.02592029, 0.874635, -0.4727727
23.50688, pulpo, MostradorUnico, 0.09927368, -0.06716633, 1.642549, -0.09106421, 0.01187152, 0.862676, -0.4844217, -0.002556324, 1.648095, -0.09551525, 0.0144571, 0.8642891, -0.490013
24.74525, pulpo, MostradorUnico, 0.1537075, 0.06469822, 1.668707, -0.02183789, -0.01329313, -0.7568048, 0.3113855, 0.1245012, 1.676358, -0.04612893, -0.008112584, -0.7681868, 0.3217402
25.58059, pulpo, MostradorUnico, 0.2097187, 0.01554966, 1.635581, -0.08495915, -0.07135402, 0.790382, -0.4580637, 0.07462049, 1.642805, -0.1111016, -0.06949775, 0.801303, -0.4646955
28.35072, pulpo, MostradorUnico, 0.7381649, 0.01410222, 1.660214, -0.05876482, 0.002361495, 0.8777019, -0.3749764, 0.07716179, 1.668272, -0.0723142, 0.0033137, 0.883571, -0.382909
30.92663, seta, MostradorUnico, 1.615683, -0.04704499, 1.657356, -0.1800653, 0.03760789, 0.9078827, -0.4047643, 0.01749706, 1.664729, -0.182267, 0.04060016, 0.9083034, -0.4100975
31.5261, seta, MostradorUnico, 0.05654335, -0.01186681, 1.633949, -0.1199707, 0.08862296, 0.8496168, -0.5193365, 0.0519464, 1.641536, -0.1102031, 0.09169205, 0.8442561, -0.5249858
32.08249, seta, MostradorUnico, 0.3906002, -0.02471685, 1.644294, -0.1244923, 0.07663613, 0.8841622, -0.4608268, 0.03931618, 1.651115, -0.1156497, 0.07850046, 0.8801938, -0.4667484
36.88567, seta, MostradorUnico, 1.141098, -0.05227304, 1.654067, -0.1244886, 0.03000678, 0.9138252, -0.4016472, 0.01255226, 1.658149, -0.1220424, 0.03217108, 0.9132506, -0.4055453
41.3681, seta, MostradorUnico, 0.1669197, 0.001110077, 1.699022, -0.09340298, 0.06984948, 0.9783383, 0.01236852, 0.06363225, 1.708176, -0.07816619, 0.07019745, 0.9728774, 0.006554562
42.30141, trofeo, MostradorUnico, 0.0287056, 0.01854277, 1.702846, -0.07913649, -0.02821908, -0.7318282, -0.1086282, 0.07343149, 1.706478, -0.1137638, -0.02929673, -0.7485164, -0.1081499
47.46612, trofeo, MostradorUnico, 1.085739, 0.0440948, 1.620442, -0.09065008, 0.1365912, -0.6162317, 0.6724002, 0.1056073, 1.626052, -0.110892, 0.1290626, -0.6285847, 0.6877298
47.52156, trofeo, MostradorUnico, 0.04096985, 0.04503679, 1.625524, -0.08778626, 0.1349556, -0.6163682, 0.6671417, 0.1068196, 1.630777, -0.1072882, 0.1282035, -0.62809, 0.683184
